,artist,title,text
201,Westlife , Beautiful In White,"Not sure if you know this But when we first met I got so nervous I couldn't speak In that very moment I found the one and My life had found its missing pieceSo as long as I live I'll love you Will have and hold you You look so beautiful in white And from now to my very last breath This day I'll cherish You look so beautiful in white TonightWhat we have is timeless My love is endless And with this ring I say to the world You're my every reason You're all that I believe in With all my heart I mean every wordSo as long as I live I'll love you Will have and hold you You look so beautiful in white And from now to my very last breath This day I'll cherish You look so beautiful in white TonightOh, oh You look so beautiful in white Na na na na na So beautiful in white TonightAnd if our daughter's what our future holds I hope she has your eyes Finds love like you and I did, yeah. When she falls in love we let her go I'll walk her down the aisle She'll look so beautiful in white...You look so beautiful in whiteSo as long as I live I'll love you Will have and hold you You look so beautiful in white And from now to my very last breath This day I'll cherish You look so beautiful in white TonightYou look so beautiful in white tonight."
202,Drake , In My Feelings,"Trap, TrapMoneyBenny This shit got me in my feelings Gotta be real with it, yupKiki, do you love me Are you riding, say you'll never ever leave From beside me, 'cause I want ya, and I need ya And I'm down for you always KB, do you love me Are you riding say you'll never ever leave From beside me, 'cause I want ya, and I need ya And I'm down for you alwaysLook the new me is really still the real me I swear you gotta feel me before they try and kill me They gotta make some choices they running out of options 'Cause I've been going off and they don't know when its stopping And we came to the top and I see that you've been learning And when I take you shopping you spend it like you earned it And when you popped off on your ex he deserved it I thought you were the one from the jump, that confirmed it TrapMoneyBenny I buy you champagne but you love some Henny From the block like you Jenny I know you special girl 'cause I know too many'Resha, do you love me Are you riding, say you'll never ever leave From beside me, 'cause I want ya, and I need ya And I'm down for you always JT, do you love me Are you riding say you'll never ever leave From beside me, 'cause I want ya, and I need ya And I'm down for you alwaysTwo bad bitches and we kissing in the wraith Kiss-kissing in the wraith, kiss-kissing in the wraith I need that black card and a code to the safe Code to the safe, code-code to the safe I show 'em how to network, fuck that Netflix and chill What's your net-net-net worthCause I want ya, and I need ya And I'm down for you always And I'm down for you always And I'm down for you always D-d-down for you always D-d-down for you always I got a new boy, and that nigga trap!Kiki, do you love me Are you riding, say you'll never ever leave From beside me, 'cause I want you, and I need you And I'm down for you always KB, do you love me Are you riding say you'll never ever leave From beside me, 'cause I want you, and I-Bring that ass, bring that ass, bring that ass back B-bring that ass, bring that ass, bring that ass back Shawty say the nigga that she with can't hit But, shawty, I'ma hit it, hit it like I can't miss Clap that ass, you're the only one I love, clap that ass Bring that ass back You're the only one I love, let's go, let's go, lets goTrap, TrapMoneyBenny This shit got me in my feelings I just gotta be real with it, yupI don't even care, I'm just being real, my shit look..."
203,Guru Randhawa , High Rated Gabru,"Haye ni haye nakhra tera ni High rated gabru nu maare Haye ni munde paagal ho gaye ne Tere gin gin lakk de hulaareTeri tedhi tedhi takkni kamaal kar gayi Ankhan na ankhan na tu sawaal kar gayiHaan haan... Teri tedhi tedhi takkni kamaal kar gayi Ankhan na ankhan na tu sawaal kar gayiDaily de kinne marde ne Te kinne pehla tu maareHaaye ni haaye nakhra tera ni High rated gabru nu maare Haaye ni munde paagal ho gaye ne Tere gin gin lakk de hulaare(Hun ye nakhra...)Nakk vich paaya koka Kehar kamaunda aa Hath vich paaya chooda Hath vi na aunda aaTere te shartan la la ke (baby!) Roz kinne ne haareHaaye ni haaye nakhra tera ni High rated gabru nu maare Haaye ni munde paagal ho gaye ne Tere gin gin lakk de hulaare(Hun ye nakhra...)Guru de haaye dil te Dimaag utte chha gayi Beautiful hoju je tu zindagi 'ch aa gayiHaaye ni Guru de haye dil te Dimaag utte chha gayi Beautiful hoju je tu zindagi 'ch aa gayi (O baby...)Mainu hun chhed de rehnde ne Sab puchde ne tere baareHaaye ni haaye nakhra tera ni High rated gabru nu maare Haaye ni munde paagal ho gaye ne Tere gin gin lakk de hulaareTere bin nahi main jeena Marr hi jaana aa... (Baby you're the one) Kinni sohni lagdi sonh haye Rabb di (You're hotter than the sun)Haan sachi-muchi hun tenu love karda Dil waali gal kehno dil darda Ban meri, ban meri Queen sohniye Dekh kalla jatt tera King wargaHaaye ni haaye nakhra tera ni High rated gabru nu maare Haaye ni munde pagal ho gaye ne Tere gin gin lakk de hulaare(Hun ye nakhra... hey...)"
204,Brett Young , Mercy,"Mercy Why you gotta show up lookin so good just to hurt me Why you wanna stop this whole damn world from turning Mercy Why you hanging on so tight if this ain't working Why you wanna stop this flame if it's still burning Cause it's still burningSo if you're gonna break my heart, just break it And if you're gonna take your shot, then take it Take it If you made up your mind, then make it Make this fast If you ever loved me Have mercyIf you go out tonight and get drunk and lonely Wind up home alone Please don't call me And say you miss me NoSo if you're gonna break my heart, just break it And if you're gonna take your shot, then take it Take it If you made up your mind, then make it Make this fast If you ever loved me Have mercyWoah Oh have mercyIf you're gonna break my heart, just break it If you're gonna take your shot, take it Take it Oh if you're gonna break my heart, just break it And if you're gonna take your shot, then take it Take it If you made up your mind, then make it Make this fast If you ever loved me Mmmh if you ever loved me Have mercy Oh have mercy Oh have mercy Have mercy"
205,Luis Fonsi , Despacito,"[Luis Fonsi & Daddy Yankee:] ¡Ay! ¡Fonsi! ¡D.Y.!Ohhh Oh, no, oh, no Oh Hey, yeah!Diridiri dirididi DaddyGo![Luis Fonsi:] Si, sabes que ya llevo un rato mirándote Tengo que bailar contigo hoy [Daddy Yankee:] (¡D.Y.!) Vi que tu mirada ya estaba llamándome Muéstrame el camino que yo voy, oh[Luis Fonsi:] Tú, tú eres el imán y yo soy el metal Me voy acercando y voy armando el plan Sólo con pensarlo se acelera el pulso[Daddy Yankee:] (Oh, yeah) Ya, ya me está gustando más de lo normal Todos mis sentidos van pidiendo más Esto hay que tomarlo sin ningún apuro[Luis Fonsi:] Des-pa-cito Quiero respirar tu cuello despacito Deja que te diga cosas al oído Para que te acuerdes si no estás conmigo Des-pa-cito Quiero desnudarte a besos despacito Firmo en las paredes de tu laberinto Y hacer de tu cuerpo todo un manuscrito[Daddy Yankee:] Sube, sube, sube Sube, sube[Luis Fonsi (Daddy Yankee):] Quiero ver bailar tu pelo Quiero ser tu ritmo Que le enseñes a mi boca Tus lugares favoritos (Favorito, favorito, baby) Déjame sobrepasar tus zonas de peligro Hasta provocar tus gritos Y que olvides tu apellido[Daddy Yankee:] Si te pido un beso ven dámelo Yo sé que estás pensándolo Llevo tiempo intentándolo Mami, esto es dando y dándolo Sabes que tu corazón conmigo te hace bang-bang Sabes que esa beba está buscando de mi bang-bang Ven prueba de mi boca para ver cómo te sabe Quiero, quiero, quiero ver cuánto amor a ti te cabe Yo no tengo prisa, yo me quiero dar el viaje Empecemos lento, después salvajePasito a pasito, suave suavecito Nos vamos pegando, poquito a poquito Cuando tú me besas con esa destreza Veo que eres malicia con delicadezaPasito a pasito, suave suavecito Nos vamos pegando, poquito a poquito Y es que esa belleza es un rompecabezas Pero pa' montarlo aquí tengo la pieza ¡Oye![Luis Fonsi:] Des-pa-cito Quiero respirar tu cuello despacito Deja que te diga cosas al oído Para que te acuerdes si no estás conmigo Des-pa-cito Quiero desnudarte a besos despacito Firmo en las paredes de tu laberinto Y hacer de tu cuerpo todo un manuscrito[Daddy Yankee:] Sube, sube, sube Sube, sube[Luis Fonsi (Daddy Yankee):] Quiero ver bailar tu pelo Quiero ser tu ritmo Que le enseñes a mi boca Tus lugares favoritos (Favorito, favorito, baby) Déjame sobrepasar tus zonas de peligro Hasta provocar tus gritos Y que olvides tu apellido[Luis Fonsi:] Des-pa-cito Vamo' a hacerlo en una playa en Puerto Rico Hasta que las olas griten ""¡Ay, Bendito!"" Para que mi sello se quede contigo ¡Bailalo![Daddy Yankee:] Pasito a pasito, suave suavecito Nos vamos pegando, poquito a poquito [Luis Fonsi:] Que le enseñes a mi boca Tus lugares favoritos [Daddy Yankee:] Favorito, favorito, baby Pasito a pasito, suave suavecito Nos vamos pegando, poquito a poquito [Luis Fonsi (Daddy Yankee):] Hasta provocar tus gritos (Fonsi) Y que olvides tu apellido (D.Y.) Des-pa-cito"
206,Hariharan , Shree Hanuman Chalisa,॥दोहा॥श्रीगुरु चरन सरोज रज निज मनु मुकुरु सुधारि । बरनउँ रघुबर बिमल जसु जो दायकु फल चारि ॥बुद्धिहीन तनु जानिके सुमिरौं पवन-कुमार । बल बुधि बिद्या देहु मोहिं हरहु कलेस बिकार ॥॥चौपाई॥जय हनुमान ज्ञान गुन सागर । जय कपीस तिहुँ लोक उजागर ॥१॥राम दूत अतुलित बल धामा । अञ्जनि-पुत्र पवनसुत नामा ॥२॥महाबीर बिक्रम बजरङ्गी । कुमति निवार सुमति के सङ्गी ॥३॥कञ्चन बरन बिराज सुबेसा । कानन कुण्डल कुञ्चित केसा ॥४॥ हाथ बज्र औ ध्वजा बिराजै । काँधे मूँज जनेउ साजै ॥५॥सङ्कर सुवन केसरीनन्दन । तेज प्रताप महा जग बन्दन ॥६॥बिद्यावान गुनी अति चातुर । राम काज करिबे को आतुर ॥७॥प्रभु चरित्र सुनिबे को रसिया । राम लखन सीता मन बसिया ॥८॥सूक्ष्म रूप धरि सियहिं दिखावा । बिकट रूप धरि लङ्क जरावा ॥९॥भीम रूप धरि असुर सँहारे । रामचन्द्र के काज सँवारे ॥१०॥लाय सञ्जीवन लखन जियाये । श्रीरघुबीर हरषि उर लाये ॥११॥रघुपति कीह्नी बहुत बड़ाई । तुम मम प्रिय भरतहि सम भाई ॥१२॥सहस बदन तुह्मारो जस गावैं । अस कहि श्रीपति कण्ठ लगावैं ॥१३॥सनकादिक ब्रह्मादि मुनीसा । नारद सारद सहित अहीसा ॥१४॥जम कुबेर दिगपाल जहाँ ते । कबि कोबिद कहि सके कहाँ ते ॥१५॥तुम उपकार सुग्रीवहिं कीह्ना । राम मिलाय राज पद दीह्ना ॥१६॥तुह्मरो मन्त्र बिभीषन माना । लङ्केस्वर भए सब जग जाना ॥१७॥जुग सहस्र जोजन पर भानु । लील्यो ताहि मधुर फल जानू ॥१८॥प्रभु मुद्रिका मेलि मुख माहीं । जलधि लाँघि गये अचरज नाहीं ॥१९॥दुर्गम काज जगत के जेते । सुगम अनुग्रह तुह्मरे तेते ॥२०॥राम दुआरे तुम रखवारे । होत न आज्ञा बिनु पैसारे ॥२१॥सब सुख लहै तुह्मारी सरना । तुम रच्छक काहू को डर ना ॥२२॥आपन तेज सह्मारो आपै । तीनों लोक हाँक तें काँपै ॥२३॥भूत पिसाच निकट नहिं आवै । महाबीर जब नाम सुनावै ॥२४॥नासै रोग हरै सब पीरा । जपत निरन्तर हनुमत बीरा ॥२५॥सङ्कट तें हनुमान छुड़ावै । मन क्रम बचन ध्यान जो लावै ॥२६॥सब पर राम तपस्वी राजा । तिन के काज सकल तुम साजा ॥२७॥और मनोरथ जो कोई लावै । सोई अमित जीवन फल पावै ॥२८॥चारों जुग परताप तुह्मारा । है परसिद्ध जगत उजियारा ॥२९॥साधु सन्त के तुम रखवारे । असुर निकन्दन राम दुलारे ॥३०॥अष्टसिद्धि नौ निधि के दाता । अस बर दीन जानकी माता ॥३१॥राम रसायन तुह्मरे पासा । सदा रहो रघुपति के दासा ॥३२॥तुह्मरे भजन राम को पावै । जनम जनम के दुख बिसरावै ॥३३॥अन्त काल रघुबर पुर जाई । जहाँ जन्म हरिभक्त कहाई ॥३४॥और देवता चित्त न धरई । हनुमत सेइ सर्ब सुख करई ॥३५॥सङ्कट कटै मिटै सब पीरा । जो सुमिरै हनुमत बलबीरा ॥३६॥जय जय जय हनुमान गोसाईं । कृपा करहु गुरुदेव की नाईं ॥३७॥जो सत बार पाठ कर कोई । छूटहि बन्दि महा सुख होई ॥३८॥जो यह पढ़ै हनुमान चालीसा । होय सिद्धि साखी गौरीसा ॥३९॥तुलसीदास सदा हरि चेरा । कीजै नाथ हृदय महँ डेरा ॥४०॥॥दोहा॥पवनतनय सङ्कट हरन मङ्गल मूरति रूप । राम लखन सीता सहित हृदय बसहु सुर भूप ॥
207,Param Singh , Daru Badnaam,ni lakh tera patla jeha jdo tur di sitara bal khave morni ji tor kudiye hun mundiya to hosh kitho aave ni naagni di aankh waaliye ni naagni di aankh waaliye ni naagni di aankh waaliye sab kite tu gabru kanware o daaru badnaam krti ae ta naina terya de kaare...o thekeya de raah bhool gye jdo tak le sharabi nain tere naina cho dhul phle todti gal vas ch rhi na hun mere ooh bina dat khole kuriye ooh bina dat khole kuriye ooh bina dat khole kuriye tenu peen firn ethe saare ooo o daaru badnaam krti ae ta naina terya de kaare...o pta kro kede pind di kudi gidhe ch karayi att jave o pta kro kede pind di kudi gidhe ch karayi att jave o dj da kasoor koi na kudi chobran te sine aag lave o dj da kasoor koi na kudi chobran te sine aag lave tu dilan ute kahar krdi tu dilan ute kahar krdi tu dilan ute kahar krdi jag jind jaan tere ute ware o daaru badnaam krti ae ta naina terya de kaare
208,Tony Kakkar , Mile Ho Tum,Mile ho tum humko Bade naseebon se Churaya hai maine Kismat ki lakeeron seMile ho tum humko Bade naseebon se Churaya hai maine Kismat ki lakeeron seTeri mohabbat se saanse mili hai Sada rehna dil mein kareeb hokeMile ho tum humko Bade naseebon se Churaya hai maine Kismat ki lakeeron seMile ho tum humko Bade naseebon se Churaya hai maine Kismat ki lakeeron seTeri chahaton mein kitna tadpe hain Sawan bhi kitne tujh bin barse hain Zindagi meri sari jo bhi kami thi Tere aa jaane se ab nahi rahiSada hi rehna tum Mere kareeb ho ke Churaya hai maine Kismat ki lakeeron seBaahon mein teri ab yaara jannat hai Maangi khuda se tu wo mannat hai Teri wafa ka sahara mila hai Teri hi wajah se ab main zinda hoonTeri mohabbat se Zara ameer hoke Churaya hai maine Kismat ki lakeero seMile ho tum humko Bade naseebon se Churaya hai maine Kismat ki lakeeron seTeri mohabbat se saanse mili hai Sada rehna dil mein kareeb hoke
209,Moonstar88 , Torete,"Sandali na lang Maari bang pagbigyan Aalis na nga Maaari bang hawakan ang iyong mga kamay Sana ay maabot ng langit ang iyong mga ngiti Sana ay masilipWag kang mag-alala Di ko ipipilit sa 'yo Kahit na lilipad ang isip ko'y torete sa 'yoIlang gabi pa nga lang Nang tayo'y pinagtagpo Na parang may tumulak Nanlalamig, nanginginig na akoAkala ko nung una May bukas ang ganito Mabuti pang umiwas Pero salamat na rin at nagtagpoTorete, torete, torete ako Torete, torete, torete sa 'yoRepeat refrainTorete, torete, torete ako Torete, torete, torete akoRepeat Torete, torete, torete sa'yo"
210,Pokémon , Pokémon Theme,"I wanna be the very best Like no one ever was To catch them is my real test To train them is my causeI will travel across the land Searching far and wide Teach Pokemon to understand The power that's insidePokemon! Gotta catch 'em all It's you and me I know it's my destiny Pokemon! Oh, you're my best friend In a world we must defendPokemon! Gotta catch 'em all A heart so true Our courage will pull us through You teach me, and I'll teach you Pokemon! Gotta catch 'em all, gotta catch 'em all YeahEvery challenge along the way With courage I will face I will battle every day To claim my rightful placeCome with me, the time is right There's no better team Arm in arm, we'll win the fight It's always been our dreamPokemon! Gotta catch 'em all It's you and me I know it's my destiny Pokemon! Oh, you're my best friend In a world we must defendPokemon! Gotta catch 'em all A heart so true Our courage will pull us through You teach me, and I'll teach you Pokemon! Gotta catch 'em all, gotta catch 'em allGotta catch 'em all Gotta catch 'em all Gotta catch 'em all YeahPokémon! Gotta catch 'em all It's you and me I know it's my destiny Pokémon! Oh, you're my best friend In a world we must defendPokémon! Gotta catch 'em all A heart so true Our courage will pull us through You teach me, and I'll teach you Pokémon Gotta catch 'em all, gotta catch 'em all Pokémon"
211,Nawab , Expert Jatt,"18 ve dharia ae pair jattiye Kare kehar jattieye Maare fire jattiye, Ni teri Billi Akh Ni, Pairan vich heel payi Adhe Futt di, Ni sada dil lutt di, Na Kite Jave tut ni, Dolle Khanda Lak Ni, Oh Patase Jihe Bullan Utte Popi La lia ti loundi firee maske, Kardiya Ne Follow Gaddiyan Ne Saariya Ni Tu Piche La Liyan Mina Jeha Hass K Vich Jede Baithe Hande Hoye Jatt Ne Saare dhudha Patt Ne thoda Reh Bach KMoopar rakane teri lal rang di, Sadi jaan Mang di, ni munde sooli tang di, Jdo Loundi Geediyan, 3 naal rakhe pakkiyan sahelia, Chandan ni geeliyan, heer diya cheelian, Gallan hon terian, Ho Lak utte paiyan 3 Butter Flyiyan, Maar diya dabke, Kardiya Ne Follow Gaddiyan Ne Saariya Ni Tu Piche La Liyan Mina Jeha Hass K Vich Jede Baithe Hande Hoye Jatt Ne Saare dhudha Patt Ne thoda Reh Bach K,Pinda wale dass kehda chant maarde, Sheeshe chakke car de, Eve nak chadd ke Rakh saambh chadtan, leelan te dull di cream balliye, Sidha Seen Balliye, na Bande mean Balliye, Bhan dinde madkan, ho loogad jihe jatt ignore mardi, Ni yankiyan de chaske, Kardiya Ne Follow Gaddiyan Ne Saariya Ni Tu Piche La Liyan Mina Jeha Hass K Vich Jede Baithe Hande Hoye Jatt Ne Saare dhudha Patt Ne thoda Reh Bach K,Khush Dili da swag, Billo rab di ae daat, Yaar sare tooph, yaara de layi doonge Jazbaat, Ik kite din raat, Neet rakhi Bas Saaf, Hogi Mista Baaz, Mista Baaz,Talwade ala patt ta tu Gill Jattiye, Munda Kill Jattiye, waare Dil Jattiye, Kam Koi Fake Ni, Pad Lai Ishara ni tu khabi Akh Da, Chori Chori tak da, tera time chak da, Laina Akhan seek ni, Ho Narinder nu Mil Kadi Time Kad ke Aaji Pehla das ke, Kardiya Ne Follow Gaddiyan Ne Saariya Ni Tu Piche La Liyan Mina Jeha Hass K Vich Jede Baithe Hande Hoye Jatt Ne Saare dhudha Patt Ne thoda Reh Bach K,"
212,SpongeBob SquarePants , SpongeBob SquarePants Theme Song,Are you ready kids? Aye-aye captain. I can't hear you... Aye-aye captain!Ohhhhhh! Who lives in a pineapple under the sea? SpongeBob SquarePants! Absorbent and yellow and porous is he! SpongeBob SquarePants!If nautical nonsense be something you wish... SpongeBob SquarePants! Then drop on the deck and flop like a fish! SpongeBob Squarepants! Ready?SpongeBob SquarePants! SpongeBob SquarePants! SpongeBob... SquarePants! Hahaha! Ahahahah ahh
213,Zayn Malik , Too Much,"[Verse 1: ZAYN] Looking right and the time flied I took a day just a while back Think we fucked in the flashback Only my mind kinda sidetracked Found good, but now I feel bad Like I know I can't take it back No, there's nothin' I can say[Pre-Chorus: Timbaland] Must be an addiction I wanted it all, didn't expect it to fall Must be an affliction I wanted to call, but I didn't call Now it's keeping me up night 'n day Keeping me up like night 'n day Must be an addiction Now there's nothing I can't say but[Chorus: ZAYN & Timbaland] I guess I want too much (too much) I just want to love you now (too much) You just can't love me back (yeah) This is why I need a touch That's why I need a touch (yeah) That's why I need a touch That's why I need a touch (yeah) This is why I need a touch[Verse 2: ZAYN] I never meant to but I did though I gotta keep it on the d-low Then again, what the fuck do I know? You're always on my mind, so Found good, but now I feel bad Like I know I can't take it back No, there's nothin' I can say[Pre-Chorus: Timbaland] Must be an addiction I wanted it all, didn't expect it to fall Must be an affliction I wanted to call, but I didn't call Now it's keeping me up like that Keeping me up like that Must be an addiction Now there's nothing I can't say but[Chorus: ZAYN & Timbaland] I guess I want too much (too much) I just want to love you now (too much) You just can't love me back (yeah) This is why I need a touch That's why I need a touch (yeah) That's why I need a touch That's why I need a touch (yeah) This is why I need a touch[Bridge: ZAYN] When the room becomes a game we play When lights, they seem to turn to snakes I guess I'll turn your back Say white lights, between your face You know I love my place Nothing I can say Nothing I can say (nothing I can say)[Chorus: ZAYN & Timbaland] I guess I want too much (too much) I just want to love you now (too much) You just can't love me back (yeah) This is why I need a touch That's why I need a touch (yeah) That's why I need a touch That's why I need a touch (yeah) That's why I need a touch"
214,Morissette Amon , Akin Ka Na Lang,Bakit hindi mo maramdaman Ikaw sa akin ay mahalaga Ako sayo'y kaibigan lamang Pano nga ba't di ko matanggap At ako pa ba'y iibigin pa Ang dinadasal makikiusap na langAkin ka na lang Akin ka na lang Ang dinadasal sa araw-araw Akin ka na lang Akin ka na lang At maghihintay hanggang akin ka na GiliwAt sa panaginip lamang Nahahagka't nayayakap ka At ako pa ba'y iibigin pa Ang dinadasal makikiusap na langAkin ka na lang Akin ka na lang Ang dinadasal sa araw-araw Akin ka na lang Akin ka na lang At maghihintay hanggang akin ka na GiliwAt ako pa ba'y iibigin pa Ang dinadasal makikiusap na langAkin ka na lang Giliw Akin ka na lang Ang dinadasal sa araw-araw At maghihintay hanggang akin ka na Giliw
215,Orange And Lemons , Hanggang Kailan,"Labis na naiinip Nayayamot sa bawat saglit Kapag naaalala ka Wala naman akong magawa(Refrain) Umuwi ka na baby Hindi na ako sanay ng wala ka Mahirap ang mag-isa At sa gabi'y hinahanap-hanap kita.(Chorus) Hanggang kailan ako maghihintay Na makasama ka muli Sa buhay kong puno ng paghihirap Na tanging ikaw lang ang Pumapawi sa mga luhaAt naglalagay ng ngiti sa mga labi'Di mapigilang mag-isip Na baka sa tagal Mahulog ang loob mo sa iba Nakakabalisa, knock on wood 'Wag naman sana(Repeat Refrain & Chorus)Umuwi ka na baby... Umuwi ka na baby... Umuwi ka na baby...Umuwi ka na baby... Umuwi ka na baby... Umuwi ka na baby..."
216,K. K. , Yaaron,Yaaron dosti badi hi haseen hai Yeh na ho to kya phir Bolo yeh zindagi haiKoi to ho raazdaar Begaraj tera ho yaar Koi to ho raazdaarYaaron mohabbat hi to bandagi hai Yeh na ho to kya phir bolo yeh zindagi haiKoi to dilbar ho yaar Jisko tujhse ho Pyaar Koi to dilbar ho yaarTeri har ke buraai pe daante woh dost Gam ki ho dhoop to saaya bane tera woh dostNaache bhi woh teri khushi main aree Yaaron dosti badi hi haseen haiYeh na ho to kya phir Bolo yeh zindagi hai Koi to ho raazdaar Begaraj tera ho yaar Koi to ho raazdaarTan mann kar tujhpe fida Mehboob woh Palkon pe jo rakhe tujhe Mehboob woh Jiski vafa tere liye hoAre Yaaron mohabbat hi to bandagi hai Yeh na ho to kya phir Bolo yeh zindgi hai Koi to dilbar ho yaar Jisko tujhse ho pyaar Koi to dilbar ho yaar
217,Maroon 5 , Girls Like You,"[Verse 1: Adam Levine] Spent 24 hours, I need more hours with you You spent the weekend getting even, ooh We spent the late nights making things right between us[Pre-Chorus: Adam Levine] But now it's all good, babe Roll that back wood, babe And play me close[Chorus: Adam Levine] 'Cause girls like you run 'round with guys like me 'Til sun down when I come through I need a girl like you, yeah yeah Girls like you love fun, and yeah, me too What I want when I come through I need a girl like you, yeah yeah[Post-Chorus: Adam Levine] Yeah yeah yeah, yeah yeah yeah I need a girl like you, yeah yeah Yeah yeah yeah, yeah yeah yeah I need a girl like you[Verse 2: Adam Levine] I spent last night on the last flight to you Took a whole day up tryna get way up, ooh We spent the daylight tryna make things right between us[Pre-Chorus: Adam Levine] But now it's all good, babe Roll that back wood, babe And play me close[Chorus: Adam Levine] 'Cause girls like you run 'round with guys like me 'Til sun down when I come through I need a girl like you, yeah yeah Girls like you love fun, and yeah, me too What I want when I come through I need a girl like you, yeah yeah[Post-Chorus: Adam Levine] Yeah yeah yeah, yeah yeah yeah I need a girl like you, yeah yeah Yeah yeah yeah, yeah yeah yeah I need a girl like you, yeah yeah I need a girl like you, yeah yeah I need a girl like you[Bridge: Adam Levine] Maybe it's 6:45 Maybe I'm barely alive Maybe you've taken my shit for the last time Maybe I know that I'm drunk Maybe I know you're the one Maybe you're thinking it's better if you drive[Chorus: Adam Levine] 'Cause girls like you run 'round with guys like me 'Til sun down when I come through I need a girl like you, yeah yeah[Verse 3: Cardi B] Not too long ago, I was dancing for dollars (eeoow) No, it's really rude if I let you meet my mama (eeoow) You don't want a girl like me I'm too crazy Fore every other girl you meet its fugazy (okurrrt) I'm sure them other girls were nice enough But you need someone to spice it up So who you gonna call? Cardi, Cardi Come and rev it up like a Harley, Harley Why is the best fruit always forbidden? I'm coming to you now doin' 20 over the limit The red light, red light stop, stop (skrrt) I don't play when it comes to my heart (let's get it though) I don't really want a white horse and a carriage I'm thinkin' more of a white Porsches and karats I need you right here 'cause every time you call I play with this kitty like you play with your guitar[Chorus : Adam Levine] 'Cause girls like you run 'round with guys like me 'Til sun down when I come through I need a girl like you, yeah yeah Girls like you love fun, and yeah, me too What I want when I come through I need a girl like you, yeah yeah[Post-Chorus: Adam Levine] Yeah yeah yeah, yeah yeah yeah I need a girl like you, yeah yeah Yeah yeah yeah, yeah yeah yeah I need a girl like you"
218,CupcakKe , Deepthroat,"HUMP ME! FUCK ME! Daddy betta make me choke. HUMP ME! FUCK ME! My tunnel loves a deepthroat. (It do)Lick, lick, lick, lick I wanna eat yo dick. But I can't fuck up my nailsso Imma pick it up with chopsticks.Mouth wide open Mouth wide open Mouth wide open like I was at the Dentist Mouth wide open Mouth wide open Put it so deep I can't speak a sentence My fingas in it gentle Explore this Ngga mental Imma write my name on his dick (his dick) Don't need a pen or a pencil (No, I don't) All I need is my body My pussy pink just like salami Don't need no drink to get naughtyCause bitch I'm not Bill Cosby My pussy mean and it's cleanI'm not a squirter I cream Keep it smellin' like baby wipes I never smell like sardines (Ew!) This will never fucking end. Ballerina that dick when I spinI fucked this Ngga so good I ain't swallow one kid I think I swallowed twins! HUMP ME! FUCK ME!Daddy betta make me choke. HUMP ME! FUCK ME! My tunnel loves a deepthroat. (It do) Lick, lick, lick, lick I wanna eat yo dick. But I can't fuck up my nails so Imma pick it up with chopsticks. Mouth wide open Mouth wide open Mouth wide open like I was at the Dentist Mouth wide open Mouth wide open Put it so deep I can't speak a sentenceGo and put it down my butt! Let's shoot a movie, no cuts. Ride the dick and my nipples licked that's breastfeedin' while we fuck.Gonna get the dick wet and firm you betta sweat me out of my perm. Can't wait til' it's my turn I wanna blow bubbles with sperm.wanna hit it from the back? Let me arch my back Once I arch my back that means attack this pussy Don't need no porn star cause I'm the moderin'. All my spit on his dick Sound like I'm garglin'. Make him bust 3 nuts is the task My panties stuck in my ass So I pulled them down to show him the pearl Made his pubic hairs grow fast. Fuck this pussy Fuck this pussy Fuck this pussy Come fuck this pussy Fuck this pussy Fuck this pussy Fuck this pussy Come fuck this pussy"
219,Shaun (숀) , Way Back Home (잠자리의 집),멈춘 시간 속 잠든 너를 찾아가 아무리 막아도 결국 너의 곁인 걸 길고 긴 여행을 끝내 이젠 돌아가 너라는 집으로 지금 다시 way back home 아무리 힘껏 닫아도 다시 열린 서랍 같아 하늘로 높이 날린 넌 자꾸 내게 되돌아와 힘들게 삼킨 이별도 다 그대로인 걸 oh oh oh 수없이 떠난 길 위에서 난 너를 발견하고 비우려 했던 맘은 또 이렇게 너로 차올라 발걸음의 끝에 늘 니가 부딪혀그만 그만 멈춘 시간 속 잠든 너를 찾아가 아무리 막아도 결국 너의 곁인 걸 길고 긴 여행을 끝내 이젠 돌아가 너라는 집으로 지금 다시 way back home 조용히 잠든 방을 열어 기억을 꺼내 들어 부서진 시간 위에서 선명히 너는 떠올라 길 잃은 맘 속에 널 가둔 채 살아그만 그만 멈춘 시간 속 잠든 너를 찾아가 아무리 막아도 결국 너의 곁인 걸 길고 긴 여행을 끝내 이젠 돌아가 너라는 집으로 지금 다시 way back home 세상을 뒤집어 찾으려 해 오직 너로 완결된 이야기를 모든 걸 잃어도 난 너 하나면 돼 빛이 다 꺼진 여기 나를 안아줘 눈을 감으면 소리 없이 밀려와 이 마음 그 위로 넌 또 한 겹 쌓여가 내겐 그 누구도 아닌 니가 필요해 돌아와 내 곁에 그날까지 I'm not done
